,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
188,1.9,2011-08-29,29.024768175000258,2.0,16.666666666666668,1.9,15.133333333333333,8.44888888888889
189,0.0,2011-08-30,22.3703091300002,0.0,0.6666666666666666,0.0,10.466666666666669,8.354444444444445
190,0.0,2011-08-31,19.87842659400017,0.0,0.6666666666666666,0.0,0.6333333333333333,8.006666666666668
191,0.0,2011-09-01,17.471494599000156,1.0,0.3333333333333333,0.0,0.0,8.006666666666668
192,0.0,2011-09-02,16.84852396500015,0.0,0.3333333333333333,0.0,0.0,8.006666666666668
193,0.0,2011-09-03,20.18991191100018,0.0,0.3333333333333333,0.0,0.0,8.006666666666668
194,2.5,2011-09-04,14.894661522000131,0.0,0.0,2.5,0.8333333333333334,8.034444444444444
195,0.0,2011-09-05,12.232877904000109,0.0,0.0,0.0,0.8333333333333334,8.034444444444444
196,0.0,2011-09-06,11.440006188000105,0.0,0.0,0.0,0.8333333333333334,7.901111111111112
197,0.0,2011-09-07,11.836442046000103,0.0,0.0,0.0,0.0,7.901111111111112
198,0.0,2011-09-08,21.945556425000195,0.0,0.0,0.0,0.0,7.873333333333334
199,17.8,2011-09-09,24.947142207000223,13.0,4.333333333333333,17.8,5.933333333333334,8.071111111111112
200,25.5,2011-09-10,22.7667449880002,8.0,7.0,25.5,14.433333333333332,8.202222222222222
201,2.7,2011-09-11,18.774069561000168,10.0,10.333333333333334,2.7,15.333333333333334,8.232222222222223
202,5.5,2011-09-12,18.06614838600016,0.0,6.0,5.5,11.233333333333334,8.293333333333335
203,12.0,2011-09-13,22.2004080480002,0.0,3.333333333333333,12.0,6.733333333333333,8.11111111111111
204,0.0,2011-09-14,16.508721801000146,0.0,0.0,0.0,5.833333333333333,7.8277777777777775
205,15.0,2011-09-15,20.24654560500018,4.0,1.3333333333333333,15.0,9.0,7.913333333333334
206,26.8,2011-09-16,21.152684709000187,12.0,5.333333333333333,26.8,13.933333333333332,8.157777777777778
207,3.0,2011-09-17,15.63089954400014,0.0,5.333333333333333,3.0,14.933333333333332,8.19111111111111
208,0.0,2011-09-18,13.47881917200012,0.0,4.0,0.0,9.933333333333334,8.19111111111111
209,0.0,2011-09-19,12.289511598000107,0.0,0.0,0.0,1.0,8.19111111111111
210,9.5,2012-06-06,0.2831684700000025,0.3,0.0999999999999999,9.5,3.1666666666666665,0.6811111111111111
211,0.0,2012-06-07,0.2831684700000025,0.0,0.0999999999999999,0.0,3.1666666666666665,0.6811111111111111
212,0.0,2012-06-08,0.2831684700000025,0.0,0.0999999999999999,0.0,3.1666666666666665,0.6811111111111111
213,0.0,2012-06-09,0.2831684700000025,0.0,0.0,0.0,0.0,0.6811111111111111
214,0.0,2012-06-10,0.2831684700000025,0.0,0.0,0.0,0.0,0.6811111111111111
215,10.0,2012-06-24,0.2548516230000023,2.0,0.6666666666666666,10.0,3.333333333333333,0.7755555555555556
216,13.4,2012-06-25,0.3681190110000032,0.0,0.6666666666666666,13.4,7.8,0.9244444444444444
217,2.0,2012-06-26,0.2831684700000025,0.0,0.6666666666666666,2.0,8.466666666666667,0.9466666666666668
218,0.0,2012-06-27,0.2831684700000025,0.0,0.0,0.0,5.133333333333334,0.9466666666666668
219,0.0,2012-06-28,0.2548516230000023,0.0,0.0,0.0,0.6666666666666666,0.9466666666666668
220,41.5,2012-07-04,0.906139104000008,5.0,1.6666666666666667,41.5,13.833333333333334,1.4077777777777778
221,31.0,2012-07-05,17.78297991600016,54.0,19.666666666666668,31.0,24.166666666666668,1.7266666666666668
222,20.2,2012-07-06,4.927131378000044,0.9,19.966666666666665,20.2,30.9,1.951111111111111
223,70.0,2012-07-07,14.951295216000132,65.0,39.96666666666667,70.0,40.4,2.728888888888889
224,6.2,2012-07-08,10.363966002000092,60.0,41.96666666666667,6.2,32.13333333333333,2.7977777777777777
225,18.6,2012-07-09,5.69168624700005,0.0,41.66666666666666,18.6,31.6,3.0044444444444447
226,0.0,2012-07-10,4.47406182600004,10.0,23.33333333333333,0.0,8.266666666666667,2.9277777777777785
227,6.4,2012-07-11,3.737823804000033,0.0,3.333333333333333,6.4,8.333333333333334,2.943333333333334
228,22.0,2012-07-12,14.63980989900013,51.95,20.65,22.0,9.466666666666669,3.1877777777777783
229,14.5,2012-07-13,24.86219166600022,49.2,33.71666666666667,14.5,14.3,3.348888888888889
230,14.0,2012-07-14,15.149513145000135,0.0,33.71666666666667,14.0,16.833333333333332,3.326666666666667
231,0.5,2012-07-15,6.031488411000054,0.0,16.400000000000002,0.5,9.666666666666666,3.332222222222222
232,0.0,2012-07-16,3.794457498000034,0.0,0.0,0.0,4.833333333333333,3.304444444444445
